"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","C","27","01029419","Uptown","0","0","9","0","9","0","9","",""
"40","C","27","07625804","We Speak Toastmasters","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","C","28","00001802","Mid-Day Club","1","0","17","0","17","0","18","",""
"40","C","28","00008082","The Breakfast Club","1","0","8","0","8","0","9","",""
"40","C","28","00009099","Children's Hospital Club","2","0","6","1","7","0","9","",""
"40","C","28","01423343","City of Columbus","8","0","19","3","22","0","30","",""
"40","D","31","00000453","Pioneer Toastmasters Club","0","0","16","0","16","0","16","",""
"40","D","31","00007780","Toast of the Town, Kenwood Toastmasters Club","4","0","11","2","13","0","17","",""
"40","D","31","00907534","FTMT on Campus","27","0","33","1","34","0","61","",""
"40","D","31","04887152","Paycor Toastmasters","0","0","0","0","0","0","0","",""
"40","D","31","07335430","Givaudan Toastmasters","0","0","13","0","13","0","13","",""
"40","D","32","00008020","Bearcat / Environmentally Speaking Toastmasters Club","7","0","8","0","8","0","15","",""
"40","D","32","00009319","Cincinnati NIOSH Club","1","0","8","3","11","0","12","",""
"40","D","32","00009523","TV Toastmasters Club","2","0","6","1","7","0","9","",""
"40","D","32","00922067","Environmentally Speaking","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","D","32","05522829","Entrepreneur Toastmasters Club","0","0","3","0","3","0","3","",""
"40","D","36","00000870","Tri-County Toastmasters Club","7","0","9","0","9","0","16","",""
"40","D","36","00641256","CIC Speaks Toastmasters Club","4","0","22","0","22","0","26","",""
"40","D","36","01299268","Miami Masters Toastmasters Club","4","0","9","0","9","0","13","",""
"40","D","36","02705957","CIC Speaks Too","2","0","17","13","30","0","32","",""
"40","D","36","02846914","Oxford Toastmasters","1","0","10","0","10","0","11","",""
"40","D","37","00004251","Cincinnati Talk In the Park","1","0","14","1","15","0","16","",""
"40","D","37","00008634","Ethicon Toastmasters Leaders In Speaking (TLS)","7","0","10","2","12","0","19","",""
"40","D","37","01160434","BTC (Building Tomorrow's Communicators)","3","0","19","6","25","0","28","",""
"40","D","37","02811841","BLAST (Blue Ash Speaking Team)","0","1","5","0","6","0","6","",""
"40","D","37","07679377","Financially Speaking","0","0","15","0","15","0","15","",""
"40","D","38","00000472","Cincinnati Toastmasters","14","0","15","1","16","0","30","",""
"40","D","38","00001578","Seven Hills of Cincinnati Toastmasters","1","0","8","1","9","0","10","",""
"40","D","38","00003456","Standing Room Only","0","0","0","0","0","0","0","",""
"40","D","38","04677366","Competitive Speakers Cincinnati","0","0","9","1","10","0","10","",""
"40","D","39","00002289","T.A.L.K. Club","2","0","9","1","10","0","12","",""
"40","D","39","00003804","The Kings Speech","1","0","8","0","8","0","9","",""
"40","D","39","00005008","Mason Town Criers Toastmasters Club","4","0","8","12","20","0","24","",""
"40","D","39","00008323","Wilmington Expressives","2","0","4","0","4","0","6","",""
"40","D","39","00620518","Loveland SPEAKEASY","2","0","11","0","11","0","13","",""
"40","D","39","00642205","Mason Speech Weavers","1","0","15","1","16","0","17","",""
"40","E","41","00002391","Lexington Toastmasters Club","12","0","11","0","11","0","23","",""
"40","E","41","00002869","Huntington Centennial Toastmasters Club","7","1","8","0","9","0","16","",""
"40","E","41","00002949","Sunrise Toastmasters Club","3","0","11","0","11","0","14","",""
"40","E","41","00005517","Lexmark Club","3","0","18","9","27","0","30","",""
"40","E","41","03663553","Big Blue Toastmasters","3","0","8","1","9","0","12","",""
"40","E","43","00004097","Madco Club","2","0","7","0","7","0","9","",""
"40","E","43","00007305","Downtown Lunch Bunch Toastmasters Club","1","0","8","1","9","0","10","",""
"40","E","43","01990654","Midway Toastmasters","2","0","17","15","32","0","34","",""
"40","E","43","06977905","Mountain Movers","1","0","7","1","8","0","9","",""
"40","E","44","00001223","Triangle Toastmasters Club","0","0","10","0","10","0","10","",""
"40","E","44","00008416","Articulate Revenuers Toastmasters Club","2","0","7","1","8","0","10","",""
"40","E","44","00593263","Northern Kentucky Toastmasters Club","1","0","8","1","9","0","10","",""
"40","E","44","01153372","Voice of Independence","3","0","9","1","10","0","13","",""
"40","E","44","04497479","Interior Voices","0","0","0","0","0","0","0","",""
"40","E","46","00001249","Life Enriching Toastmasters","0","0","14","1","15","0","15","",""
"40","E","46","00007083","Cheers Toastmasters","2","1","11","4","16","0","18","",""
"40","E","46","00009531","Toast Of Broadway Toastmasters Club","4","0","21","0","21","0","25","",""
"40","E","46","00742749","Kroger Food for Thought Club","2","0","7","0","7","0","9","",""
"40","E","46","01655418","MSD Sewer Talk","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","E","47","00001941","Anderson Hills Toastmasters Club","0","0","5","0","5","0","5","",""
"40","E","47","00002142","Toast-N-Talk Club","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","E","47","00003459","Great American Speakers Club","17","0","24","0","24","0","41","",""
"40","E","47","00922412","American Modern Toastmasters","5","0","17","0","17","0","22","",""
"40","E","47","01491854","A Toast to Genius","0","0","0","0","0","0","0",""," Susp 09/30/22"
