"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s","Level 5s","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","03","00000553","Megacity Toastmasters Club","Active","8","10","5","0","0","1","0","0","0","4","1","0","1","0","0","4","0","5","5","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","14","16","4","0","0","0","0","1","0","0","0","0","0","0","0","4","1","4","5","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","14","16","4","0","0","0","0","1","0","0","0","0","0","0","0","4","1","4","5","1","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","22","24","5","1","0","0","0","0","0","0","1","0","1","1","0","4","4","5","4","1","1","1",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","22","24","5","1","0","0","0","0","0","0","1","0","1","1","0","4","4","5","4","1","1","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","11","15","9","0","0","1","2","1","0","4","2","0","1","1","0","4","2","4","4","1","1","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","11","15","9","0","0","1","2","1","0","4","2","0","1","1","0","4","2","4","4","1","1","1",""
"40","A","03","07264780","Synchrony - Kettering","Active","20","22","10","0","0","1","0","1","1","7","2","0","1","1","0","4","7","7","5","1","1","2",""
"40","A","03","07264780","Synchrony - Kettering","Active","20","22","10","0","0","1","0","1","1","7","2","0","1","1","0","4","7","7","5","1","1","2",""
"40","A","04","00001238","Greenville Club","Active","11","11","2","0","0","0","0","0","0","2","1","0","0","0","0","2","0","5","4","1","1","1",""
"40","A","04","00001238","Greenville Club","Active","11","11","2","0","0","0","0","0","0","2","1","0","0","0","0","2","0","5","4","1","1","1",""
"40","A","04","00004341","Lima Eye Openers Club","Active","8","9","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","0","1","0","1",""
"40","A","04","00004341","Lima Eye Openers Club","Active","8","9","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","0","1","0","1",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","15","14","4","1","0","0","0","0","0","0","1","0","1","1","1","0","0","5","4","1","0","1",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","15","14","4","1","0","0","0","0","0","0","1","0","1","1","1","0","0","5","4","1","0","1",""
"40","A","04","00007241","Hi-Point Club","Active","10","12","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","1","1","1",""
"40","A","04","00007241","Hi-Point Club","Active","10","12","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","1","1","1",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","Active","21","20","4","0","0","0","0","0","0","1","0","0","1","0","0","4","4","5","4","1","1","1",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","Active","21","20","4","0","0","0","0","0","0","1","0","0","1","0","0","4","4","5","4","1","1","1",""
"40","A","04","04334989","Crown Toastmasters","Active","53","59","10","2","0","1","1","1","2","11","2","5","3","3","1","4","14","4","4","1","1","1",""
"40","A","04","04334989","Crown Toastmasters","Active","53","59","10","2","0","1","1","1","2","11","2","5","3","3","1","4","14","4","4","1","1","1",""
"40","A","05","00009297","Vandalia Toastmasters Club","Active","10","11","4","1","0","0","0","1","0","0","0","0","0","1","0","3","0","5","5","1","0","1",""
"40","A","05","00009297","Vandalia Toastmasters Club","Active","10","11","4","1","0","0","0","1","0","0","0","0","0","1","0","3","0","5","5","1","0","1",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","17","17","9","0","0","0","0","1","1","5","2","0","1","1","2","4","1","6","5","1","0","2",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","17","17","9","0","0","0","0","1","1","5","2","0","1","1","2","4","1","6","5","1","0","2",""
"40","A","05","05124110","Miami County Toastmasters","Active","27","17","5","1","0","0","0","1","1","0","0","0","1","0","0","4","0","4","4","1","1","1",""
"40","A","05","05124110","Miami County Toastmasters","Active","27","17","5","1","0","0","0","1","1","0","0","0","1","0","0","4","0","4","4","1","1","1",""
"40","A","05","06547513","Cause-Driven Toastmasters","Active","21","16","8","0","0","0","0","1","0","2","2","1","2","2","1","4","1","7","4","1","0","1",""
"40","A","05","06547513","Cause-Driven Toastmasters","Active","21","16","8","0","0","0","0","1","0","2","2","1","2","2","1","4","1","7","4","1","0","1",""
"40","A","05","06793986","Assurant-Springfield Toastmasters","Active","31","40","5","0","0","0","0","0","0","7","1","0","1","0","0","4","12","5","4","1","1","1",""
"40","A","05","06793986","Assurant-Springfield Toastmasters","Active","31","40","5","0","0","0","0","0","0","7","1","0","1","0","0","4","12","5","4","1","1","1",""
"40","A","06","00001206","RELX Communicators","Active","18","17","6","0","0","0","0","1","0","6","1","0","0","0","1","4","1","4","6","1","1","1",""
"40","A","06","00001206","RELX Communicators","Active","18","17","6","0","0","0","0","1","0","6","1","0","0","0","1","4","1","4","6","1","1","1",""
"40","A","06","00001694","Dayton United Communicators Club","Active","20","15","9","1","0","1","0","1","1","1","2","1","1","1","2","4","1","7","7","1","1","1",""
"40","A","06","00001694","Dayton United Communicators Club","Active","20","15","9","1","0","1","0","1","1","1","2","1","1","1","2","4","1","7","7","1","1","1",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","8","8","6","0","0","0","0","0","0","1","2","0","2","2","1","0","0","7","5","1","0","1",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","8","8","6","0","0","0","0","0","0","1","2","0","2","2","1","0","0","7","5","1","0","1",""
"40","A","06","02615720","WINning Communicators","Active","10","12","5","1","0","0","0","1","0","4","1","0","1","0","0","4","1","4","7","1","1","1",""
"40","A","06","02615720","WINning Communicators","Active","10","12","5","1","0","0","0","1","0","4","1","0","1","0","0","4","1","4","7","1","1","1",""
"40","B","11","00000214","Greater Columbus Toastmasters","Active","14","15","3","0","0","0","0","0","0","1","0","0","1","0","0","4","1","6","4","1","1","1",""
"40","B","11","00000214","Greater Columbus Toastmasters","Active","14","15","3","0","0","0","0","0","0","1","0","0","1","0","0","4","1","6","4","1","1","1",""
"40","B","11","00000859","Northwest Club","Active","21","10","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","7","3","1","0","1",""
"40","B","11","00000859","Northwest Club","Active","21","10","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","7","3","1","0","1",""
"40","B","11","00004158","Hilliard Toastmasters Club","Active","20","11","5","0","0","0","0","1","1","1","1","0","0","0","0","4","3","5","5","1","0","1",""
"40","B","11","00004158","Hilliard Toastmasters Club","Active","20","11","5","0","0","0","0","1","1","1","1","0","0","0","0","4","3","5","5","1","0","1",""
"40","B","11","02451490","2Checkout","Active","14","16","5","0","0","0","0","1","0","3","2","0","0","0","0","4","2","6","4","1","0","1",""
"40","B","11","02451490","2Checkout","Active","14","16","5","0","0","0","0","1","0","3","2","0","0","0","0","4","2","6","4","1","0","1",""
"40","B","11","03374578","Dynamic  Growth Toastmasters","Active","15","9","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","1",""
"40","B","11","03374578","Dynamic  Growth Toastmasters","Active","15","9","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","1",""
"40","B","12","00002718","Masterminds At Grandview Yard","Active","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","2","0","0","1",""
"40","B","12","00002718","Masterminds At Grandview Yard","Active","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","2","0","0","1",""
"40","B","12","03812990","Eagles Toastmasters","Active","20","16","2","0","0","0","0","0","0","2","0","0","0","0","0","4","0","3","3","1","0","1",""
"40","B","12","03812990","Eagles Toastmasters","Active","20","16","2","0","0","0","0","0","0","2","0","0","0","0","0","4","0","3","3","1","0","1",""
"40","B","12","05819394","The Toastmasters At OSU Wexner Medical Center","Active","12","10","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","1","0","0","1",""
"40","B","12","05819394","The Toastmasters At OSU Wexner Medical Center","Active","12","10","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","3","1","0","0","1",""
"40","B","12","06743347","Toastmasters International At OSU","Active","8","13","3","1","0","0","0","0","0","0","0","0","0","0","0","4","3","4","4","1","0","1",""
"40","B","12","06743347","Toastmasters International At OSU","Active","8","13","3","1","0","0","0","0","0","0","0","0","0","0","0","4","3","4","4","1","0","1",""
"40","B","13","00005156","Delaware Toastmasters","Active","16","23","5","1","0","0","0","0","0","4","1","0","0","0","0","4","6","7","5","1","1","1",""
"40","B","13","00005156","Delaware Toastmasters","Active","16","23","5","1","0","0","0","0","0","4","1","0","0","0","0","4","6","7","5","1","1","1",""
"40","B","13","01293737","MY CATALYST TMC","Active","20","17","7","0","0","1","0","1","2","2","2","0","2","0","1","3","0","6","3","1","1","1",""
"40","B","13","01293737","MY CATALYST TMC","Active","20","17","7","0","0","1","0","1","2","2","2","0","2","0","1","3","0","6","3","1","1","1",""
"40","B","13","01508639","Scotts Gro-Masters","Active","26","24","8","1","0","1","0","1","0","4","2","0","1","1","0","4","1","5","6","1","1","1",""
"40","B","13","01508639","Scotts Gro-Masters","Active","26","24","8","1","0","1","0","1","0","4","2","0","1","1","0","4","1","5","6","1","1","1",""
"40","B","13","01684414","Marysville E.C.H.O.S.","Active","21","17","4","0","0","1","2","1","5","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"40","B","13","01684414","Marysville E.C.H.O.S.","Active","21","17","4","0","0","1","2","1","5","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"40","B","13","07282093","Honda North America (HNA) Toastmasters","Active","46","57","3","0","0","0","0","0","0","0","0","0","0","0","0","4","14","1","0","1","1","1",""
"40","B","13","07282093","Honda North America (HNA) Toastmasters","Active","46","57","3","0","0","0","0","0","0","0","0","0","0","0","0","4","14","1","0","1","1","1",""
"40","B","13","07330683","TM-one Toastmasters","Active","27","22","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","1","0","1",""
"40","B","13","07330683","TM-one Toastmasters","Active","27","22","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","1","0","1",""
"40","B","14","01131982","Premier Toastmasters","Active","27","24","9","2","0","1","1","1","0","5","2","2","1","0","1","4","3","5","4","1","1","1",""
"40","B","14","01131982","Premier Toastmasters","Active","27","24","9","2","0","1","1","1","0","5","2","2","1","0","1","4","3","5","4","1","1","1",""
"40","B","14","01276053","Essential To Leadership","Active","20","15","6","0","0","0","0","0","0","3","2","0","1","2","1","4","3","4","4","1","1","1",""
"40","B","14","01276053","Essential To Leadership","Active","20","15","6","0","0","0","0","0","0","3","2","0","1","2","1","4","3","4","4","1","1","1",""
"40","B","14","06133241","Women With Voices","Active","10","14","2","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","0","1","1","1",""
"40","B","14","06133241","Women With Voices","Active","10","14","2","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","0","1","1","1",""
"40","B","14","06722000","Wings With Voices","Active","9","16","6","0","0","0","0","0","0","2","1","0","1","1","1","4","7","6","6","0","1","1",""
"40","B","14","06722000","Wings With Voices","Active","9","16","6","0","0","0","0","0","0","2","1","0","1","1","1","4","7","6","6","0","1","1",""
"40","B","15","00000959","Columbus Toastmasters Club","Active","20","23","5","0","0","0","0","0","0","4","0","0","0","1","0","4","7","6","1","1","1","1",""
"40","B","15","00000959","Columbus Toastmasters Club","Active","20","23","5","0","0","0","0","0","0","4","0","0","0","1","0","4","7","6","1","1","1","1",""
"40","B","15","00001028","Worthington Toastmasters","Active","20","15","8","0","0","1","1","1","1","1","1","0","0","1","0","4","0","6","5","1","1","1",""
"40","B","15","00001028","Worthington Toastmasters","Active","20","15","8","0","0","1","1","1","1","1","1","0","0","1","0","4","0","6","5","1","1","1",""
"40","B","15","00004695","Unity Club","Active","13","11","4","0","0","0","0","1","3","0","0","0","0","0","0","1","0","5","4","1","0","1",""
"40","B","15","00004695","Unity Club","Active","13","11","4","0","0","0","0","1","3","0","0","0","0","0","0","1","0","5","4","1","0","1",""
"40","B","15","00004915","Central Ohio Advanced Club","Active","14","14","5","0","0","0","0","1","1","0","1","0","0","0","1","2","0","7","4","1","1","1",""
"40","B","15","00004915","Central Ohio Advanced Club","Active","14","14","5","0","0","0","0","1","1","0","1","0","0","0","1","2","0","7","4","1","1","1",""
"40","B","15","01825615","Progressive Speaking Club","Active","12","17","7","0","0","1","1","1","0","1","0","0","0","0","0","4","4","4","4","1","1","1",""
"40","B","15","01825615","Progressive Speaking Club","Active","12","17","7","0","0","1","1","1","0","1","0","0","0","0","0","4","4","4","4","1","1","1",""
"40","B","16","00000478","OCLC Toastmasters Club","Active","20","23","3","1","0","0","0","1","0","1","0","0","0","0","0","4","1","2","0","1","0","1",""
"40","B","16","00000478","OCLC Toastmasters Club","Active","20","23","3","1","0","0","0","1","0","1","0","0","0","0","0","4","1","2","0","1","0","1",""
"40","B","16","00002246","Excellcomm Club","Active","20","16","4","0","0","1","1","1","0","1","0","0","0","0","0","2","0","0","1","1","0","1",""
"40","B","16","00002246","Excellcomm Club","Active","20","16","4","0","0","1","1","1","0","1","0","0","0","0","0","2","0","0","1","1","0","1",""
"40","B","16","00005447","Sawmill Toastmasters Club","Active","11","11","2","0","0","0","0","0","0","2","1","0","0","0","0","1","0","4","5","1","0","1",""
"40","B","16","00005447","Sawmill Toastmasters Club","Active","11","11","2","0","0","0","0","0","0","2","1","0","0","0","0","1","0","4","5","1","0","1",""
"40","B","16","02884105","Dublin Premier TM Club","Active","8","9","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","1",""
"40","B","16","02884105","Dublin Premier TM Club","Active","8","9","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","1",""
"40","B","16","04181643","Dublin Advanced Toastmasters","Active","17","15","3","0","0","0","0","0","0","4","1","0","0","0","0","2","0","6","5","1","0","1",""
"40","B","16","04181643","Dublin Advanced Toastmasters","Active","17","15","3","0","0","0","0","0","0","4","1","0","0","0","0","2","0","6","5","1","0","1",""
"40","B","16","07625804","We Speak Toastmasters","Active","51","53","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1",""
"40","B","16","07625804","We Speak Toastmasters","Active","51","53","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","1","1",""
"40","C","21","00647621","SOAR Toastmasters Club","Active","27","31","8","1","0","1","1","1","0","1","0","0","2","0","0","4","5","6","4","1","1","1",""
"40","C","21","00647621","SOAR Toastmasters Club","Active","27","31","8","1","0","1","1","1","0","1","0","0","2","0","0","4","5","6","4","1","1","1",""
"40","C","21","00656587","Polaris Toastmasters Club","Active","32","31","7","0","0","1","0","0","0","4","2","2","1","0","0","4","11","6","2","1","1","1",""
"40","C","21","00656587","Polaris Toastmasters Club","Active","32","31","7","0","0","1","0","0","0","4","2","2","1","0","0","4","11","6","2","1","1","1",""
"40","C","21","01477745","TEAM Toastmasters Club","Active","20","19","2","0","0","0","0","0","0","1","1","0","1","0","0","3","0","4","5","1","1","1",""
"40","C","21","01477745","TEAM Toastmasters Club","Active","20","19","2","0","0","0","0","0","0","1","1","0","1","0","0","3","0","4","5","1","1","1",""
"40","C","21","02289063","Toast What Matters","Active","33","32","9","0","0","1","0","1","0","2","2","0","4","1","0","4","8","5","6","1","1","1",""
"40","C","21","02289063","Toast What Matters","Active","33","32","9","0","0","1","0","1","0","2","2","0","4","1","0","4","8","5","6","1","1","1",""
"40","C","21","04309899","Toast of the Town","Active","14","13","4","0","0","0","0","0","0","2","2","0","0","0","1","1","0","6","4","1","1","1",""
"40","C","21","04309899","Toast of the Town","Active","14","13","4","0","0","0","0","0","0","2","2","0","0","0","1","1","0","6","4","1","1","1",""
"40","C","21","06414354","460° Toastmasters Club","Suspended","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","21","06414354","460° Toastmasters Club","Suspended","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","21","07437506","Time 2 Toast","Active","20","27","5","0","0","0","0","0","0","4","0","0","0","0","0","4","8","5","4","1","0","1",""
"40","C","21","07437506","Time 2 Toast","Active","20","27","5","0","0","0","0","0","0","4","0","0","0","0","0","4","8","5","4","1","0","1",""
"40","C","22","00003182","New Albany Toastmasters","Active","12","12","1","1","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","1","0","1",""
"40","C","22","00003182","New Albany Toastmasters","Active","12","12","1","1","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","1","0","1",""
"40","C","22","00008226","Gahanna Club","Active","23","19","3","0","0","1","0","0","0","0","0","0","0","0","0","4","3","3","4","1","1","1",""
"40","C","22","00008226","Gahanna Club","Active","23","19","3","0","0","1","0","0","0","0","0","0","0","0","0","4","3","3","4","1","1","1",""
"40","C","22","01030644","Kilowattmasters","Active","22","18","2","1","0","0","0","0","0","0","0","0","0","0","0","4","4","0","3","0","0","0",""
"40","C","22","01030644","Kilowattmasters","Active","22","18","2","1","0","0","0","0","0","0","0","0","0","0","0","4","4","0","3","0","0","0",""
"40","C","22","01293730","New Albany Communicators","Active","12","13","6","0","0","1","0","1","0","1","1","0","0","0","0","4","4","4","5","1","0","1",""
"40","C","22","01293730","New Albany Communicators","Active","12","13","6","0","0","1","0","1","0","1","1","0","0","0","0","4","4","4","5","1","0","1",""
"40","C","22","07206254","CVG Toastmasters","Active","23","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","22","07206254","CVG Toastmasters","Active","23","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","23","00000524","Franklin Club","Active","33","22","7","0","0","1","0","1","1","0","0","0","1","0","0","4","4","4","4","1","1","1",""
"40","C","23","00000524","Franklin Club","Active","33","22","7","0","0","1","0","1","1","0","0","0","1","0","0","4","4","4","4","1","1","1",""
"40","C","23","00950432","Toaster Treats","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","23","00950432","Toaster Treats","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","23","05412649","Toasterville","Suspended","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","23","05412649","Toasterville","Suspended","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","C","23","06137312","Franklin County Dept. of Job and Family Svcs.","Active","22","36","10","1","0","0","0","1","1","5","2","1","3","3","0","4","12","5","4","1","1","1",""
"40","C","23","06137312","Franklin County Dept. of Job and Family Svcs.","Active","22","36","10","1","0","0","0","1","1","5","2","1","3","3","0","4","12","5","4","1","1","1",""
"40","C","23","07519962","Huntington Easton Toastmasters","Active","23","24","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1",""
"40","C","23","07519962","Huntington Easton Toastmasters","Active","23","24","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1",""
"40","C","24","00003002","Columbus-Whitehall Club","Active","15","15","3","0","0","0","0","0","0","5","1","0","0","0","0","4","0","4","1","1","1","1",""
"40","C","24","00003002","Columbus-Whitehall Club","Active","15","15","3","0","0","0","0","0","0","5","1","0","0","0","0","4","0","4","1","1","1","1",""
"40","C","24","00003885","Podium Pros Toastmasters Club","Active","28","27","9","0","0","1","4","1","3","4","2","5","4","2","2","4","2","6","4","1","1","1",""
"40","C","24","00003885","Podium Pros Toastmasters Club","Active","28","27","9","0","0","1","4","1","3","4","2","5","4","2","2","4","2","6","4","1","1","1",""
"40","C","24","00588225","FearBreakers Toastmasters Club","Active","15","19","4","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","0","1","0","1",""
"40","C","24","00588225","FearBreakers Toastmasters Club","Active","15","19","4","0","0","1","0","0","0","0","0","0","0","0","0","4","4","2","0","1","0","1",""
"40","C","24","04507513","Diversity Toasters of Central Ohio","Suspended","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"40","C","24","04507513","Diversity Toasters of Central Ohio","Suspended","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"40","C","25","00003500","AGOISSI Toastmasters Club","Active","27","28","10","1","0","1","1","1","5","5","2","2","4","0","0","4","4","5","4","1","1","1",""
"40","C","25","00003500","AGOISSI Toastmasters Club","Active","27","28","10","1","0","1","1","1","5","5","2","2","4","0","0","4","4","5","4","1","1","1",""
"40","C","25","00007114","DFAS-CO Toastmasters Club","Active","17","17","4","0","0","0","0","0","0","2","2","0","0","0","0","4","2","6","4","1","1","1",""
"40","C","25","00007114","DFAS-CO Toastmasters Club","Active","17","17","4","0","0","0","0","0","0","2","2","0","0","0","0","4","2","6","4","1","1","1",""
"40","C","25","03537448","Shoe Lovers","Active","18","23","4","1","0","0","0","1","0","1","0","0","0","0","0","4","5","2","0","1","0","1",""
"40","C","25","03537448","Shoe Lovers","Active","18","23","4","1","0","0","0","1","0","1","0","0","0","0","0","4","5","2","0","1","0","1",""
"40","C","25","04410308","Defensively Speaking","Active","12","11","3","0","0","1","0","1","0","1","1","0","1","0","0","3","0","2","5","0","1","1",""
"40","C","25","04410308","Defensively Speaking","Active","12","11","3","0","0","1","0","1","0","1","1","0","1","0","0","3","0","2","5","0","1","1",""
"40","C","25","06070109","Trance Mission Toastmasters","Active","36","36","9","2","0","0","0","1","3","5","2","2","2","0","1","4","5","4","3","1","1","1",""
"40","C","25","06070109","Trance Mission Toastmasters","Active","36","36","9","2","0","0","0","1","3","5","2","2","2","0","1","4","5","4","3","1","1","1",""
"40","D","31","00001861","Mt. Auburn Toastmasters","Low","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3","0","0","1",""
"40","D","31","00001861","Mt. Auburn Toastmasters","Low","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","3","0","0","1",""
"40","D","31","00742749","Kroger Food for Thought Club","Active","16","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","1",""
"40","D","31","00742749","Kroger Food for Thought Club","Active","16","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","1",""
"40","D","31","01491854","A Toast to Genius","Active","21","19","2","0","0","0","0","0","0","1","0","0","0","0","0","4","0","2","1","1","0","1",""
"40","D","31","01491854","A Toast to Genius","Active","21","19","2","0","0","0","0","0","0","1","0","0","0","0","0","4","0","2","1","1","0","1",""
"40","D","31","05522829","HCDC Entrepreneur Toastmasters Club","Active","15","19","5","1","0","0","0","1","1","2","0","0","0","0","0","4","4","5","3","1","1","1",""
"40","D","31","05522829","HCDC Entrepreneur Toastmasters Club","Active","15","19","5","1","0","0","0","1","1","2","0","0","0","0","0","4","4","5","3","1","1","1",""
"40","D","31","07754349","Digital Declaratives Toastmasters","Active","20","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"40","D","31","07754349","Digital Declaratives Toastmasters","Active","20","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1",""
"40","D","32","00008020","Bearcat Toastmasters Club","Active","20","14","4","0","0","0","0","0","0","3","1","0","0","0","1","4","1","5","5","1","1","1",""
"40","D","32","00008020","Bearcat Toastmasters Club","Active","20","14","4","0","0","0","0","0","0","3","1","0","0","0","1","4","1","5","5","1","1","1",""
"40","D","32","00009319","Cincinnati NIOSH Club","Active","17","16","1","1","0","0","0","0","0","3","0","0","0","0","0","2","0","3","2","1","0","1",""
"40","D","32","00009319","Cincinnati NIOSH Club","Active","17","16","1","1","0","0","0","0","0","3","0","0","0","0","0","2","0","3","2","1","0","1",""
