Club,Division,Area,List Status,Election,Name
00005517,E,41,Received - 05/25/2022,Annual,Lexmark Club
00007083,E,46,Received - 07/19/2022,Annual,Cheers Toastmasters
00007241,A,4,Received - 06/21/2022,Annual,Hi-Point Club
00007305,E,43,Received - 05/26/2022,Semiannual,Downtown Lunch Bunch Toastmasters Club
00007780,D,31,Received - 06/27/2022,Annual,"Toast of the Town, Kenwood Toastmasters Club"
00008020,D,32,Received - 09/23/2022,Annual,Bearcat / Environmentally Speaking Toastmasters Club
00008082,C,28,Received - 07/22/2022,Annual,The Breakfast Club
00008187,A,2,Received - 06/01/2022,Annual,Tarmac Toastmasters Club
00008226,C,24,Received - 06/27/2022,Annual,Gahanna Club
00008323,D,39,Received - 06/27/2022,Annual,Wilmington Expressives
00008416,E,44,Received - 06/22/2022,Annual,Articulate Revenuers Toastmasters Club
00008634,D,37,Received - 08/22/2022,Annual,Ethicon Toastmasters Leaders In Speaking (TLS)
00009099,C,28,Received - 06/29/2022,Annual,Children's Hospital Club
00009319,D,32,Received - 06/27/2022,Annual,Cincinnati NIOSH Club
00009523,D,32,Received - 06/29/2022,Annual,TV Toastmasters Club
00009531,E,46,Received - 06/01/2022,Annual,Toast Of Broadway Toastmasters Club
00585063,A,5,Received - 06/09/2022,Semiannual,Springfield Toastmasters Club
00588286,A,1,Received - 05/02/2022,Annual,Dayton Top Mentors Toastmasters Club
00593263,E,44,Received - 05/26/2022,Annual,Northern Kentucky Toastmasters Club
00620518,D,39,Received - 06/26/2022,Annual,Loveland SPEAKEASY
00621016,C,27,Received - 05/27/2022,Annual,Brewery District Club
00631540,A,3,Received - 05/24/2022,Annual,Springboro Toastmasters
00641256,D,36,Received - 07/06/2022,Annual,CIC Speaks Toastmasters Club
00642205,D,39,Received - 05/06/2022,Annual,Mason Speech Weavers
00647621,C,23,Received - 07/12/2022,Annual,SOAR Toastmasters Club
00707357,C,23,Received - 06/15/2022,Annual,The Athenian Toastmasters Club
00742749,E,46,Received - 07/18/2022,Annual,Kroger Food for Thought Club
00907534,D,31,Received - 09/15/2022,Semiannual,FTMT on Campus
00922412,E,47,Received - 06/15/2022,Annual,American Modern Toastmasters
00952869,C,27,Received - 06/08/2022,Annual,1RP Toastmasters - For AEP Employees and Contractors
01029419,C,27,Received - 06/10/2022,Annual,Uptown
01030644,C,24,Received - 06/30/2022,Annual,Kilowattmasters
01131982,B,14,Received - 06/30/2022,Annual,Premier Toastmasters
01153372,E,44,Received - 05/09/2022,Annual,Voice of Independence
01160434,D,37,Received - 06/01/2022,Annual,BTC (Building Tomorrow's Communicators)
01276053,B,14,Received - 06/14/2022,Annual,Essential To Leadership
01293730,C,22,Received - 06/16/2022,Annual,New Albany Communicators
01293737,B,15,Received - 06/13/2022,Annual,MY CATALYST TMC
01299268,D,36,Received - 09/27/2022,Semiannual,Miami Masters Toastmasters Club
01331177,A,1,Received - 05/08/2022,Annual,Downtown Morning Toasters
01423343,C,28,Received - 06/16/2022,Annual,City of Columbus
01477745,C,23,Received - 06/20/2022,Annual,TEAM Toastmasters Club
01508639,B,15,Received - 06/21/2022,Annual,Scotts Gro-Masters
01684414,B,15,Received - 03/31/2023,Annual,Marysville E.C.H.O.S.
01739738,A,4,Received - 05/06/2022,Semiannual,"Emerson Toastmasters - Sidney, Ohio"
01825615,B,12,Received - 05/31/2022,Annual,Progressive Speaking Club
01990654,E,43,Received - 05/04/2022,Semiannual,Midway Toastmasters
02158270,A,1,Received - 06/21/2022,Annual,Heartbeat Toastmasters
02289063,B,19,Received - 07/05/2022,Annual,Toast What Matters
02451490,B,11,Received - 07/22/2022,Annual,2Checkout
02705957,D,36,Received - 06/07/2022,Annual,CIC Speaks Too
02811841,D,37,Received - 07/04/2022,Annual,BLAST (Blue Ash Speaking Team)
02846914,D,36,Received - 09/14/2022,Annual,Oxford Toastmasters
02884105,B,12,Received - 06/09/2022,Annual,Dublin Premier TM Club
03374578,B,12,Received - 06/27/2022,Annual,Dynamic  Growth Toastmasters
03375045,B,18,Received - 06/09/2022,Annual,OHFA Toastmasters
03646317,C,24,Received - 06/05/2022,Annual,ENCORE Toastmasters
03663553,E,41,Received - 06/07/2022,Semiannual,Big Blue Toastmasters
03812990,B,19,Received - 05/11/2022,Annual,Eagles Toastmasters
04181643,B,15,Received - 05/24/2022,Annual,Dublin Advanced Toastmasters
04334989,A,4,Received - 11/22/2022,Annual,Crown Toastmasters
04410308,C,25,Received - 06/28/2022,Annual,Defensively Speaking
04497479,E,44,List Not Here,Annual,Interior Voices
04677366,D,38,Received - 06/16/2022,Annual,Competitive Speakers Cincinnati
04887152,D,31,List Not Here,Annual,Paycor Toastmasters
05124110,A,5,Received - 06/09/2022,Annual,Miami County Toastmasters
05168204,B,11,Received - 06/24/2022,Annual,Grove City Toastmasters
05522829,D,32,Received - 05/29/2022,Annual,Entrepreneur Toastmasters Club
06098333,C,24,Received - 06/01/2022,Annual,Reynoldsburg Toastmasters
06137312,B,18,Received - 09/30/2022,Annual,Franklin County Communicators
06743347,B,18,Received - 06/06/2022,Annual,Toastmasters International At OSU
06793986,A,5,Received - 06/08/2022,Annual,Assurant-Springfield Toastmasters
06977905,E,43,Received - 09/15/2022,Annual,Mountain Movers
07017426,A,5,Received - 06/29/2022,Annual,Leaders on the Rise
07219299,B,12,Received - 06/13/2022,Annual,Radiant Toastmasters
07264780,A,3,Received - 06/27/2022,Annual,Synchrony – CWC
07273470,A,2,Received - 05/03/2022,Annual,Wright Way Toastmasters
07330683,B,15,Received - 05/24/2022,Annual,TM-one Toastmasters
07335430,D,31,Received - 06/28/2022,Annual,Givaudan Toastmasters
07519962,C,23,Received - 09/07/2022,Annual,Huntington  Toastmasters
07679377,D,37,Received - 08/26/2022,Annual,Financially Speaking
07836455,C,25,Received - 06/26/2022,Annual,Rise Higher Advanced Toastmasters Club
07944721,C,22,Received - 06/24/2022,Annual,Revlocal Toastmasters
